source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Github.com'}",Pathos0925,SatoshiGuesser – Roll for Bitcoin,Roll for lost bitcoin. Contribute to Pathos0925/SatoshiGuesser development by creating an account on GitHub.,https://github.com/Pathos0925/SatoshiGuesser,https://opengraph.githubassets.com/5c4e5771cb062f8bd7f84af4494d3010db967a48e407fa290ed1e7468336d33d/Pathos0925/SatoshiGuesser,2026-04-30T16:29:58Z,"A slot-machine web game that ""guesses"" Satoshi Nakamoto's Bitcoin private
keys. The odds are astronomically remote (~1 in 5.27 × 10² per spin), but
the cryptography is real: every pull rolls a rand… [+8256 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Kyle Torpey,"Michael Saylor’s Bitcoin Treasury Company Posts $12.5 Billion Loss, Boasts That People Are Still Giving It Money","The company, Strategy, is effectively a levered play on bitcoin.",https://gizmodo.com/michael-saylors-bitcoin-treasury-company-posts-12-5-billion-loss-boasts-that-people-are-still-giving-it-money-2000755338,https://gizmodo.com/app/uploads/2026/05/michael-saylor-1200x675.jpg,2026-05-06T23:16:29Z,"Strategy, which is the $64 billion bitcoin treasury company led by Michael Saylor, has one overriding objective: acquire as much bitcoin as possible as quickly as possible. However, the firm posted 1… [+4380 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",,Bitcoin drives back toward $80K—but one billionaire may be fueling much of the rally,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_917594bb-7ddb-4606-9f3a-b9ca3e4836b9,,2026-04-27T18:32:13Z,"If you click 'Accept all', we and our partners, including 250 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Kyle Torpey,El Salvador’s Bitcoin-Loving President Has Allegedly Frozen Assets of Local News Outlet,The ideas underpinning Bitcoin are sort of the opposite of this.,https://gizmodo.com/el-salvadors-bitcoin-loving-president-has-allegedly-frozen-assets-of-local-news-outlet-2000756750,https://gizmodo.com/app/uploads/2022/11/a57873c822d2bcd8c97a2b2fcc2272f3.jpg,2026-05-10T09:30:39Z,"Salvadorean news outlet El Faro has reported that assets tied to two of its shareholders, including bank accounts and property, have been frozen. The outlet maintains that President Nayib Bukele orde… [+5291 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Kyle Torpey,April Was the Worst Ever Month on Record for Crypto Hacks,"Drift and Kelp DAO were the two most notable crypto hacks in April, combining for $579 million in losses.",https://gizmodo.com/april-was-the-worst-ever-month-on-record-for-crypto-hacks-2000753890,https://gizmodo.com/app/uploads/2025/10/gizmodo-social-1200x675-1.jpg,2026-05-03T15:29:12Z,"April was the worst month on record for crypto projects getting hacked, with 29 incidents tracked by crypto data provider DefiLlama. In terms of dollar value, $651 million in losses were recorded, wh… [+4944 chars]"
"{'id': None, 'name': 'Alcazarsec.com'}",Alcazar Security,How Monero's proof of work works,"Monero does not use a simple fixed hash like Bitcoin. Its proof of work, RandomX, turns mining into running random CPU-friendly programs over a large memory dataset, which is why it behaves so differently from ASIC-first systems.",https://blog.alcazarsec.com/tech/posts/how-moneros-proof-of-work-works,https://alcazarsec.com/og/alcazar-nisdwy-dms.png,2026-05-04T14:10:50Z,"Moneros proof of work is called RandomX.
Monero does not ask miners to run the same tiny hash function over and over. It asks them to run a small random program on a virtual machine, hit memory hard… [+12588 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Kyle Torpey,Man Says He Used AI to Unlock Old Bitcoin Wallet Worth $400K,The pseudonymous user said he was stoned when he changed the password in 2015.,https://gizmodo.com/man-says-he-used-ai-to-unlock-old-bitcoin-wallet-worth-400k-2000758866,https://gizmodo.com/app/uploads/2026/05/Crypto-Wallet-Bitcoin-1200x675.jpg,2026-05-15T13:10:01Z,A pseudonymous user on X claims he regained access to 5 bitcoin he had lost for more than a decade after forgetting the passwordand it was Anthropics Claude chatbot that put all the pieces of the puz… [+4896 chars]
"{'id': 'business-insider', 'name': 'Business Insider'}",wedwards@businessinsider.com (William Edwards),Billionaire hedge fund investor Paul Tudor Jones says this is where he's eyeing his next big bet in markets,"Paul Tudor Jones says his investing career has been like a boxing match, and he's looking to land a blow in this part of the market next.",https://www.businessinsider.com/paul-tudor-jones-investing-opportunities-japan-yen-sanae-takaichi-2026-4,https://i.insider.com/69f235125b15148769b846b6?width=1200&format=jpeg,2026-04-30T09:40:01Z,"Paul Tudor Jones says his investing career has been like a boxing match.
Every day, he enters the ring against a tenacious opponent, the market. Most of the time, he's studying his opposition, bidin… [+1848 chars]"
"{'id': 'die-zeit', 'name': 'Die Zeit'}",DIE ZEIT: Wirtschaft - Jens Tönnesmann,Kryptowährungen: Besteuert Bitcoin!,"Bisher zahlt auf Krypto-Gewinne keine Steuern, wer die Coins länger als ein Jahr hält. Das ist ungerecht. Gut, dass die Politik das langsam einsieht.",https://www.zeit.de/wirtschaft/2026-04/kryptowaehrungen-besteuerung-gewinne-eu-finanzpolitik,https://img.zeit.de/wirtschaft/2026-04/kryptowaehrungen-besteuerung-gewinne-eu-finanzpolitik-bild/wide__1300x731,2026-05-02T03:34:56Z,"Was haben Bitcoin, Luxus-Handtaschen und Koi-Karpfen gemeinsam, außer dass man auch ganz prima ohne sie leben kann? Nun: Kauft und verkauft man sie als Privatmensch, werden die anfallenden Gewinne au… [+464 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Kyle Torpey,Tether and Arbitrum Freeze Assets as Crypto Faces Crisis of Purpose,"On Friday, the U.S. government said $344 million in Tether had been linked to wallets tied to Iran.",https://gizmodo.com/tether-and-arbitrum-freeze-assets-as-crypto-faces-crisis-of-purpose-2000750571,https://gizmodo.com/app/uploads/2026/01/Tether-stablecoins-1200x675.jpg,2026-04-24T20:05:14Z,More critics within crypto are highlighting the absence of genuine decentralization in the space after the Arbitrum blockchain and stablecoin issuer Tether both froze significant amounts of assets th… [+5988 chars]
"{'id': None, 'name': 'Gizmodo.com'}",Rhett Jones,North Korea Provides Rare Response to Longstanding Crypto Crime Accusations,The government did not admit to doing all the crimes.,https://gizmodo.com/north-korea-provides-rare-response-to-longstanding-crypto-crime-accusations-2000754559,https://gizmodo.com/app/uploads/2022/04/b31a2a9cf609386e3794b72daf5095ed-e1777987998228-1200x675.jpg,2026-05-05T14:20:51Z,"A spokesperson for North Korea’s foreign ministry has responded to the deluge of accusations related to crypto thefts and crimes thrown at Kim Jong Un’s regime, according to North Korea’s state news … [+4831 chars]"
"{'id': None, 'name': 'Theregister.com'}",Simon Sharwood,Neocloud IREN buys OpenStack champion Mirantis,Former bitcoin miner plans to build an easier cloudy AI on ramp while remaining a friend to FOSS,https://www.theregister.com/off-prem/2026/05/07/neocloud-iren-buys-openstack-champion-mirantis/5231644,https://image.theregister.com/5225246.jpg?imageId=5225246&x=0&y=0&cropw=100&croph=100&panox=0&panoy=0&panow=100&panoh=100&width=1200&height=683,2026-05-07T05:34:24Z,"Neocloud IREN has decided to buy Mirantis, and the two plan to build an open AI stack.
Mirantis made its name developing open source cloud infrastructure, such as its OpenStack distribution, hyperco… [+3468 chars]"
"{'id': None, 'name': 'Kotaku'}",Ethan Gach,"The Big Short’s Michael Burry Just Ditched All Of His GameStop Stock After Years Of Hyping The Company: ‘When Hundreds Of Billions Are On The Table, Bet On Craven Greed’",Ryan Cohen's absurd bid for a leveraged buyout of eBay is spooking investors,https://kotaku.com/the-big-shorts-michael-burry-just-ditched-all-of-his-gamestop-stock-after-years-of-hyping-the-company-when-hundreds-of-billions-are-on-the-table-bet-on-craven-greed-2000693267,https://kotaku.com/app/uploads/2021/09/97ae414eb2f00a5c1b3c54426badb8f7-1200x675.jpg,2026-05-05T17:13:20Z,GameStop’s meme stock status has allowed it nine lives to try to reinvent itself as something other than a brick-and-mortar retailer for physical games. Its latest quixotic bet is a $56 billion lever… [+2412 chars]
"{'id': None, 'name': 'Xataka.com'}",Javier Pastor,Claude ha ayudado a un hombre a recuperar 400.000 dólares en bitcoin que perdió hace 11 años. Se colocó y olvidó la contraseña,Un usuario de X llamado Cprkrn contaba recientemente su odisea con final (muy) feliz en X. En 2015 compró cinco bitcoins (BTC) cuando el precio rondaba los 250 dólares. En un arrebato de euforia universitaria decidió que su contraseña debía ser un manifiesto …,https://www.xataka.com/criptomonedas/claude-ha-ayudado-a-hombre-a-recuperar-400-000-dolares-bitcoin-que-perdio-hace-11-anos-se-coloco-olvido-contrasena,https://i.blogs.es/b8bce7/bitcoins-copia-2/840_560.jpeg,2026-05-14T10:45:29Z,Un usuario de X llamado Cprkrn contaba recientemente su odisea con final (muy) feliz en X. En 2015 compró cinco bitcoins (BTC) cuando el precio rondaba los 250 dólares. En un arrebato de euforia univ… [+4026 chars]
"{'id': None, 'name': 'Golem.de'}",Peter Steinlechner,Wegen Kryptowährungen: Trump-Medienfirma rutscht tief in die roten Zahlen,"Trump Media meldet Hunderte Millionen Dollar Verlust, ausgelöst vor allem durch Wertverluste bei Bitcoin und anderen Kryptowährungen. (Donald Trump, Politik)",https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2Fwegen-kryptowaehrungen-trump-medienfirma-rutscht-tief-in-die-roten-zahlen-2605-208506.html&referer=https%3A%2F%2Ft.co%2F1f742f55c1,,2026-05-10T10:40:02Z,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]"
"{'id': None, 'name': 'Gizmodo.jp'}",ヨコヤマコム,俳優は本物、背景はAI。ハリウッド初の生成AI大作映画がきますよ,Photo:Tinseltown/Shutterstock.com現在、世界初となる大作の生成AIハリウッド映画が制作中だそうです。エンターテインメント系メディアのTheWrapが報じています。TheWrapによれば、この作品は「生成AI映像を全面的に使用した初の“スタジオ品質”の長編映画になる」とのこと。背景・美術がAI。俳優は出演する今回の映画の監督を務めるのは、『ボーン・アイデンティティー』,https://www.gizmodo.jp/2026/04/hollywoods-first-ai-generated-movie-about-bitcoin.html,https://media.loom-app.com/gizmodo/dist/images/2026/04/25/shutterstock_647905825.jpg?w=1280&h=630&f=jpg,2026-04-26T12:00:00Z,"AIThe Wrap
The WrapAI
AI
ACME AI&amp;FX
110AIAI
ACME AI&amp;FXAI
Bitcoin: Killing SatoshiAI
37000
AI34767000111AI300
33
The Wrap
200
AI
2003AI
AI
AI
1071005455AI
AI
AIAI×1
AIAIAI"
"{'id': None, 'name': 'Golem.de'}",Przemyslaw Szymanski,Bitcoin: Claude hilft bei gesperrter 400.000-US-Dollar-Wallet,"Elf Jahre lang war eine Wallet mit 5 Bitcoins gesperrt. Erst alte Dateien und Claude brachten den Zugang zum beträchtlichen Vermögen zurück. (Bitcoin, KI)",https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2Fbitcoin-claude-hilft-bei-gesperrter-400-000-us-dollar-wallet-2605-208699.html&referer=https%3A%2F%2Ft.co%2F9b56b4797a,,2026-05-15T09:10:01Z,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]"
"{'id': None, 'name': 'Microsiervos.com'}",alvy@microsiervos.com (Alvy),Avances en el descifrado con hardware público de claves de criptografía de curva elíptica… (Pero el apocalipsis cuántico tendrá que esperar),"Un investigador independiente, Giancarlo Lelli, ha ganado un premio de ~65.000 euros del Project Eleven al romper con hardware cuántico público una clave de curva elíptica de 15 bits. No está mal, y enhorabuena al premiado, pero no es el fin del mundo ni el Q…",https://www.microsiervos.com/archivo/seguridad/avances-descifrado-claves-criptografia-curva-eliptica-apocalipsis-cuantico.html,https://img.microsiervos.com/images2026/project-eleven.webp,2026-04-25T15:09:33Z,"Por @Alvy 25 de Abril de 2026
Un investigador independiente, Giancarlo Lelli, ha ganado un premio de ~65.000 euros del Project Eleven al romper con hardware cuántico público una clave de curva elípt… [+2080 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Kyle Torpey,‘Unstoppable’ Crypto Exchange Halts Trading After $10 Million Theft,THORChain has claimed end user funds were not affected by this incident.,https://gizmodo.com/unstoppable-crypto-exchange-halts-trading-after-10-million-theft-2000759775,https://gizmodo.com/app/uploads/2025/10/gizmodo-social-1200x675-1.jpg,2026-05-17T19:14:07Z,"THORChain, a decentralized crypto exchange protocol that functions as a meta layer across multiple blockchains, halted trading on Friday after a suspected exploit resulted in the theft of roughly $10… [+5079 chars]"
"{'id': None, 'name': 'Golem.de'}",Michael Linden,Bitcoin erbeutet: Kryptoscammer nutzen Chaos an der Straße von Hormus aus,"Betrüger geben sich als iranische Behörden aus und fordern von Schiffen Bitcoin-Zahlungen für eine sichere Durchfahrt - mit fatalen Folgen. (Schifffahrt, Politik)",https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https%3A%2F%2Fwww.golem.de%2Fnews%2Fbitcoin-erbeutet-kryptoscammer-nutzen-chaos-an-der-strasse-von-hormus-aus-2604-207913.html&referer=https%3A%2F%2Ft.co%2F38cea2634b,,2026-04-23T12:15:02Z,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]"
"{'id': None, 'name': 'Schneier.com'}",Bruce Schneier,Is “Satoshi Nakamoto” Really Adam Back?,"The New York Times has a long article where the author lays out an impressive array of circumstantial evidence that the inventor of Bitcoin is the cypherpunk Adam Back.
I don’t know. The article is convincing, but it’s written to be convincing.
I can’t rememb…",https://www.schneier.com/blog/archives/2026/04/is-satoshi-nakamoto-really-adam-back.html,,2026-04-20T11:07:28Z,"The New York Times has a long article where the author lays out an impressive array of circumstantial evidence that the inventor of Bitcoin is the cypherpunk Adam Back.
I don’t know. The article is … [+495 chars]"
"{'id': None, 'name': 'heise online'}",Andreas Knobloch,DoctorSV: El Salvadors Gesundheitsdaten landen in den Händen von Google,In El Salvador wird die Versorgung von Patienten mit chronischen Krankheiten künftig von Googles KI-Agenten Gemini übernommen. Präsident Bukele ist begeistert.,https://www.heise.de/news/DoctorSV-El-Salvadors-Gesundheitsdaten-landen-in-den-Haenden-von-Google-11264981.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/5/0/6/7/3/7/7/google-gemini-shutterstock-b6ad79f9c613a260.jpg,2026-04-20T20:07:00Z,"Inhaltsverzeichnis
El Salvadors Präsident Nayib Bukele startet in seinem Land ein neues Tech-Experiment. In einer landesweiten Radio- und Fernsehansprache kündigte er in der vergangenen Woche die Au… [+4025 chars]"
"{'id': None, 'name': 'Android Authority'}",Matt Horne,"Claude helps recover $400,000 in Bitcoin after a very expensive stoner mistake","An X user says Claude helped him recover access to 5 Bitcoin after 11 years, thanks to an old wallet backup and a ridiculous password.",https://www.androidauthority.com/claude-helps-recover-bitcoin-3667658/,https://www.androidauthority.com/wp-content/uploads/2023/12/claude-homepage.jpg,2026-05-15T18:18:45Z,<ul><li>An X user says Claude helped him recover access to 5 Bitcoin after 11 years.</li><li>The user says the AI found an old wallet file that worked with an old password clue.</li><li>The recovered… [+2443 chars]
"{'id': None, 'name': 'Faz.net'}",Daniel Mohr,Hohe Risiken: Große Skepsis gegenüber Krypto,Seit Ausbruch des Irankrieges schlägt sich Bitcoin deutlich besser als Gold. Aber die Vorbehalte der Anleger sind groß.,https://www.faz.net/aktuell/finanzen/hohe-risiken-anleger-blicken-skeptisch-auf-krypto-und-bitcoin-accg-200752797.html,https://media0.faz.net/image/w1200h627/04062c7d6894/w5760h3009x0y115o/202602/43601.0.1732725348/deutlich-haptischer-als.webp,2026-04-22T06:39:17Z,"Die Frage, ob Bitcoin das neue digitale Gold sei, sie schien sich spätestens Anfang Februar erledigt zu haben. Was ist denn bitte schön von einem angeblichen Gold zu halten, das sich von Oktober bis … [+5605 chars]"
"{'id': None, 'name': 'BBC News'}","Brandon Drenon; Joe Tidy - Cyber correspondent, BBC World Service",International cyber attack disrupts swathe of universities and schools,"A hacking group breached the academic software Canvas, used by thousands of schools and universities across the globe.",https://www.bbc.com/news/articles/ce3pq0136eqo?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D,https://s.yimg.com/ny/api/res/1.2/Q2REx4VntPRB7t5y8bwjgA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU7Y2Y9d2VicA--/https://media.zenfs.com/en/bbc_us_articles_995/735b0fe067a2d703abb98fb15a641f83,2026-05-11T10:09:25Z,"A cyber attack hit several universities and schools in the US, Canada and Australia, causing chaos, confusion and major disruptions amid the high stakes end-of-year season.
The hacking group ShinyHu… [+5805 chars]"
"{'id': None, 'name': 'Korben.info'}",Vincent Lautier,Il retrouve 400 000 $ de Bitcoin oubliés depuis 11 ans grâce à Claude,"L'histoire est partie d'un changement de mot de passe fait pendant une cuite en 2014. Onze ans plus tard, le malheureux (""
cprkrn
"" sur X) avait toujours ses 5 bitcoins coincés dans un portefeuille numérique dont la clé d'accès s'était totalement évaporée de …",https://korben.info/il-retrouve-400-000-de-bitcoin-oublies-depuis-11-ans-grace-a-claude.html,https://korben.info/il-retrouve-400-000-de-bitcoin-oublies-depuis-11-ans-grace-a-claude/il-retrouve-400-000-de-bitcoin-oublies-depuis-11-ans-grace-a-claude-1.jpg,2026-05-15T07:18:46Z,"L'histoire est partie d'un changement de mot de passe fait pendant une cuite en 2014. Onze ans plus tard, le malheureux (""
cprkrn
"" sur X) avait toujours ses 5 bitcoins coincés dans un portefeuille… [+2442 chars]"
"{'id': None, 'name': 'Theregister.com'}",Connor Jones,Dude… where’s my password? Claude reunites forgetful stoner with $400k Bitcoin stash,AI to the rescue as 11-year search for password turns up in old PC files,https://www.theregister.com/offbeat/2026/05/14/claude-reunites-stoner-with-bitcoin-after-losing-password/5240492,https://image.theregister.com/5240537.jpg?imageId=5240537&x=0&y=0&cropw=100&croph=100&panox=0&panoy=0&panow=100&panoh=100&width=1200&height=683,2026-05-14T13:30:00Z,"Eleven years ago, a stoner bought some Bitcoin, lit up, and entered a password that he soon forgot. Now, after searching for more than a decade, Claude AI has helped him figure out the credentials he… [+2023 chars]"
"{'id': None, 'name': 'Kotaku'}",Rebekah Valentine,Struggling Video Game Retailer GameStop Is Reportedly Trying To Buy…EBay?!,That's a lot of Funko Pops,https://kotaku.com/struggling-video-game-retailer-gamestop-reportedly-buy-ebay-2000692553,https://kotaku.com/app/uploads/2025/11/gamestop-1200x675.jpg,2026-05-01T22:59:09Z,"GameStop, the struggling brick-and-mortar video game retailer with a market value of about $12 billion, wants to buy eBay, an e-commerce company worth around $46 billion.
This comes from a Wall Stre… [+2904 chars]"
"{'id': None, 'name': 'Kotaku'}",Rebekah Valentine,"GameStop Wants To Sell You Random Pokémon Cards For $5,000 A Pop","You, too, can help fund that eBay acquisition",https://kotaku.com/gamestop-random-rare-pokemon-cards-5000-2000693622,https://kotaku.com/app/uploads/2026/05/neutronium-blogroll.jpg,2026-05-06T18:30:25Z,"As GameStop tries to buy eBay with $56 billion of fictional money, it’s also putting a lot of effort into pump its own profits by price-gouging customers on collectibles like trading cards. Today, th… [+2505 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Rhett Jones,"DeFi Visa Card Takes Our Casino Economy to the Next Level With ‘Buy Now, Pay Maybe’ Scheme",It's just innovation upon innovation.,https://gizmodo.com/defi-visa-card-takes-our-casino-economy-to-the-next-level-with-buy-now-pay-maybe-scheme-2000756384,https://gizmodo.com/app/uploads/2026/05/tuyo_credit-card-1200x675.jpg,2026-05-08T18:10:32Z,"The American economy increasingly looks like one big casino. Even former President Trump has acknowledged elements of this shift in recent comments, stating, You know, the whole world, unfortunately,… [+5956 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Kyle Torpey,Coinbase to Layoff 14% of Workforce Amid AI Disruption and Crypto Volatility,The crypto exchange has joined the bull market for blaming cuts on AI.,https://gizmodo.com/coinbase-to-layoff-14-of-workforce-amid-ai-disruption-and-crypto-volatility-2000754782,https://gizmodo.com/app/uploads/2023/05/431a1adc20dab63ba03801e76ce9f312-e1778005332659-1200x675.jpg,2026-05-05T20:55:36Z,"On Tuesday, Coinbase CEO Brian Armstrong revealed that roughly 14% of the crypto exchanges workforce will be laid off. Armstrong cited volatility in the crypto market and the company’s expanding adop… [+5130 chars]"
"{'id': 'the-verge', 'name': 'The Verge'}",Tina Nguyen,The crypto Clarity Act returns to the Senate this week. The banks are already trying to kill it.,"Hello and welcome to Regulator, the newsletter for Verge subscribers that goes into tech shenanigans that take place in the backrooms of Washington. Really, it sometimes does feel like the online series The Backrooms: a parallel universe with no internal logi…",https://www.theverge.com/column/929752/the-crypto-clarity-act-returns-to-the-senate-this-week-the-banks-are-already-trying-to-kill-it,https://platform.theverge.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/25263345/STK432_Government_A_CVirginia.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2026-05-13T19:11:58Z,"<ul><li></li><li></li><li></li></ul>
Can the stablecoin bill get passed before the Republicans lose Congress?
Can the stablecoin bill get passed before the Republicans lose Congress?
by
Tina Nguy… [+11246 chars]"
